ticker,fy,fiscal_end,Model_Type,DSRI,GMI,AQI,SGI,DEPI,SGAI,LVGI,TATA,M_Score,Sloan_Ratio,M_Score_Z,Sloan_Ratio_Z,Beneish_Threshold,Beneish_Flag,Sloan_Flag,Any_Flag,Fwd_6M_Return,Fwd_12M_Return,Company_Name,SIC,Industry,Industry_Source,Data_Quality_Score,Data_Quality_Status,Available_SEC_Facts,Possible_SEC_Facts,Risk_Label,Risk_Explanation
ADSK,2020,2020-01-31,8-variable,1.0793818487462292,0.9866487089163839,0.8684594509164711,1.2741458479259087,1.181899586067074,0.9359920738471809,0.9275536416163571,-0.19429385205443983,-3.0761056252007273,-0.22012192327084384,-0.8106768106924337,-2.234108175776034,-1.78,False,True,True,0.20106672768631806,0.40934713778922527,"Autodesk, Inc.",7372,Services-Prepackaged Software,SEC SIC,100.0,Complete,96,96,High Risk,ADSK was flagged because its Sloan accrual z-score of -2.23 was outside the +/-2.0 threshold.
ROST,2020,2020-02-01,8-variable,0.987559274312883,1.0120557432759871,10.898325175825743,1.0704460981553026,1.0081801461567703,0.9932594440623427,0.8435892699287019,-0.054621090507037215,1.3743555740858973,-0.06621917775176309,4.946026026486053,-0.07437545962092378,-1.78,True,False,True,-0.19826964426539118,0.005046466528304094,"ROSS STORES, INC.",5651,Retail-Family Clothing Stores,SEC SIC,100.0,Complete,96,96,High Risk,ROST was flagged because its M-Score of 1.374 exceeded the -1.780 Beneish threshold; its M-Score z-score of 4.95 was above the 2.0 cross-company threshold.
LULU,2020,2020-02-02,8-variable,0.9287221574099754,0.9885574452349898,5.775477864934823,1.2101307689430374,0.9142012299596453,0.9929621445315217,1.3220284439250107,-0.007228723264847377,-0.5826704255016516,-0.008840742704383939,2.4145991428939517,0.730821893783288,-1.78,True,False,True,0.36008186293503797,0.4366515489560838,lululemon athletica inc.,2300,Apparel & Other Finishd Prods of  Fabrics & Similar Matl,SEC SIC,100.0,Complete,96,96,High Risk,LULU was flagged because its M-Score of -0.583 exceeded the -1.780 Beneish threshold; its M-Score z-score of 2.41 was above the 2.0 cross-company threshold.
EA,2020,2020-03-31,8-variable,0.6615208761951917,0.9736635064658097,1.5704641091118723,1.1185858585858586,0.9764474423833615,0.9833845042441756,0.8116230541600798,0.11177105831533478,-1.8843350122555,0.12377298320793263,0.730886852396562,2.5918036553370336,-1.78,False,True,True,0.3018873847780015,0.3548814399197464,ELECTRONIC ARTS INC.,7372,Services-Prepackaged Software,SEC SIC,100.0,Complete,96,96,High Risk,EA was flagged because its Sloan accrual z-score of 2.59 was outside the +/-2.0 threshold.
QCOM,2020,2020-09-27,8-variable,2.6498363535413554,1.06436413262481,0.9437816421554029,0.9694310550817781,1.1453173305809985,0.9746693282713668,0.9890713500039346,-0.017306287576557847,-1.0344800906201848,-0.017972020831205963,1.830180165941758,0.6026817488866262,-1.78,True,False,True,0.17205703240739134,0.18788452825654534,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,SEC SIC,100.0,Complete,84,84,High Risk,QCOM was flagged because its M-Score of -1.034 exceeded the -1.780 Beneish threshold.
AMD,2020,2020-12-26,8-variable,0.7662089641777474,0.9569587230636366,1.5735353303397497,1.450453127321349,1.2157473479964769,0.9146566970535014,0.6494484621457755,0.15833519303726848,-1.189330369924867,0.18932621747831888,1.629880241440892,3.5117187889236594,-1.78,True,True,True,-0.0674217947567336,0.5917656385556587,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices,SEC SIC,100.0,Complete,84,84,High Risk,AMD was flagged because its M-Score of -1.189 exceeded the -1.780 Beneish threshold; its Sloan accrual z-score of 3.51 was outside the +/-2.0 threshold.
DXCM,2020,2020-12-31,8-variable,1.1465730732353685,0.9498755337330735,1.8753287017416682,1.3053523035230352,1.1424207516010794,0.918341328357967,0.9094349623965484,0.01727071436895467,-1.604763322780995,0.022167377159524344,1.0925147974397955,1.165961960392685,-1.78,True,False,True,0.15492804984900932,0.4523152938282631,DEXCOM INC,3841,Surgical & Medical Instruments & Apparatus,SEC SIC,95.2,Complete,80,84,High Risk,DXCM was flagged because its M-Score of -1.605 exceeded the -1.780 Beneish threshold.
MELI,2020,2020-12-31,8-variable,0.8100538946786681,1.1160524165098327,0.7711056116786513,1.7305995608614502,1.0921047233089478,0.9569362972205818,1.3229548978960604,-0.18126567879170108,-2.9700026281916365,-0.2092319762702994,-0.6734318384155649,-2.081288453587549,-1.78,False,True,True,-0.07009821617117973,-0.19509076539476145,MERCADOLIBRE INC,7389,"Services-Business Services, NEC",SEC SIC,100.0,Complete,84,84,High Risk,MELI was flagged because its Sloan accrual z-score of -2.08 was outside the +/-2.0 threshold.
ROST,2021,2021-01-30,8-variable,1.4405253127395525,1.3064178241731939,0.7469501459764026,0.7813147929434575,0.985918603561383,1.3594978248607377,1.564120142519641,-0.16988312584177834,-3.253030865720226,-0.19582417189992637,-1.9634049569154117,-2.4954300110715653,-1.78,False,True,True,0.10764565587139074,-0.13102870814790146,"ROSS STORES, INC.",5651,Retail-Family Clothing Stores,SEC SIC,100.0,Complete,96,96,High Risk,ROST was flagged because its Sloan accrual z-score of -2.50 was outside the +/-2.0 threshold.
NVDA,2021,2021-01-31,8-variable,0.95980333309507,0.9942986089383935,3.2634832653955415,1.5272943762593882,0.548268251499076,1.1621409789158486,1.5754374584956992,-0.05175228369976729,-1.6453518290003273,-0.06463367023814688,2.3927254961169537,-0.04814709660900437,-1.78,True,False,True,0.5019695204029664,0.8866717681484872,NVIDIA CORP,3674,Semiconductors & Related Devices,SEC SIC,100.0,Complete,96,96,High Risk,NVDA was flagged because its M-Score of -1.645 exceeded the -1.780 Beneish threshold; its M-Score z-score of 2.39 was above the 2.0 cross-company threshold.
